"Date","Year","Month","Day","Tmin","Tmax"
1995-01-01,"1995",1,1,8.53238095238095,20.0240476190476
1995-01-02,"1995",1,2,7.63238095238095,18.9240476190476
1995-01-03,"1995",1,3,7.03238095238095,19.5240476190476
1995-01-04,"1995",1,4,6.93238095238095,16.6240476190476
1995-01-05,"1995",1,5,7.63238095238095,16.9240476190476
1995-01-06,"1995",1,6,8.03238095238095,21.2240476190476
1995-01-07,"1995",1,7,7.53238095238095,16.9240476190476
1995-01-08,"1995",1,8,0.504047619047619,10.8804761904762
1995-01-09,"1995",1,9,2.30404761904762,15.3804761904762
1995-01-10,"1995",1,10,2.50404761904762,16.1804761904762
1995-01-11,"1995",1,11,8.30404761904762,17.9804761904762
1995-01-12,"1995",1,12,7.60404761904762,17.3804761904762
1995-01-13,"1995",1,13,1.50404761904762,11.0804761904762
1995-01-14,"1995",1,14,-3.29595238095238,14.5804761904762
1995-01-15,"1995",1,15,-1.60290816326531,19.5961224489796
1995-01-16,"1995",1,16,-2.40290816326531,13.7961224489796
1995-01-17,"1995",1,17,2.09709183673469,14.0961224489796
1995-01-18,"1995",1,18,6.09709183673469,15.7961224489796
1995-01-19,"1995",1,19,0.897091836734694,16.7961224489796
1995-01-20,"1995",1,20,-0.502908163265306,12.0961224489796
1995-01-21,"1995",1,21,3.29709183673469,16.4961224489796
1995-01-22,"1995",1,22,-1.03877551020408,17.5897959183674
1995-01-23,"1995",1,23,2.66122448979592,17.7897959183673
1995-01-24,"1995",1,24,10.3612244897959,22.5897959183674
1995-01-25,"1995",1,25,8.76122448979592,23.4897959183673
1995-01-26,"1995",1,26,5.46122448979592,17.1897959183673
1995-01-27,"1995",1,27,5.56122448979592,21.5897959183674
1995-01-28,"1995",1,28,4.66122448979592,18.2897959183673
1995-01-29,"1995",1,29,3.8130612244898,20.6518367346939
1995-01-30,"1995",1,30,10.1130612244898,17.6518367346939
1995-01-31,"1995",1,31,6.4130612244898,19.8518367346939
1995-02-01,"1995",2,1,1.1130612244898,20.6518367346939
1995-02-02,"1995",2,2,4.9130612244898,18.7518367346939
1995-02-03,"1995",2,3,2.8130612244898,17.3518367346939
1995-02-04,"1995",2,4,1.6130612244898,21.3518367346939
1995-02-05,"1995",2,5,1.8169387755102,19.8665306122449
1995-02-06,"1995",2,6,1.9169387755102,26.5665306122449
1995-02-07,"1995",2,7,4.8169387755102,20.6665306122449
1995-02-08,"1995",2,8,8.2169387755102,20.4665306122449
1995-02-09,"1995",2,9,8.2169387755102,21.7665306122449
1995-02-10,"1995",2,10,7.1169387755102,18.1665306122449
1995-02-11,"1995",2,11,6.41693877551021,20.7665306122449
1995-02-12,"1995",2,12,6.14428571428571,22.1728571428571
1995-02-13,"1995",2,13,6.14428571428571,18.2728571428571
1995-02-14,"1995",2,14,6.24428571428571,19.3728571428571
1995-02-15,"1995",2,15,14.0442857142857,26.0728571428571
1995-02-16,"1995",2,16,11.3442857142857,24.1728571428571
1995-02-17,"1995",2,17,6.64428571428571,26.6728571428571
1995-02-18,"1995",2,18,8.94428571428571,19.0728571428571
1995-02-19,"1995",2,19,2.97775510204082,20.2018367346939
1995-02-20,"1995",2,20,1.97775510204082,18.3018367346939
1995-02-21,"1995",2,21,3.47775510204082,18.8018367346939
1995-02-22,"1995",2,22,8.47775510204082,17.7018367346939
1995-02-23,"1995",2,23,4.47775510204082,20.2018367346939
1995-02-24,"1995",2,24,7.17775510204082,23.4018367346939
1995-02-25,"1995",2,25,12.7777551020408,26.7018367346939
1995-02-26,"1995",2,26,8.21714285714286,16.1122448979592
1995-02-27,"1995",2,27,2.61714285714286,13.9122448979592
1995-02-28,"1995",2,28,3.21714285714286,9.21224489795918
1995-03-01,"1995",3,1,7.31714285714286,15.3122448979592
1995-03-02,"1995",3,2,3.91714285714286,19.7122448979592
1995-03-03,"1995",3,3,6.21714285714286,15.1122448979592
1995-03-04,"1995",3,4,7.21714285714286,15.4122448979592
1995-03-05,"1995",3,5,9.90714285714286,20.1851020408163
1995-03-06,"1995",3,6,9.20714285714286,18.7851020408163
1995-03-07,"1995",3,7,4.20714285714286,16.1851020408163
1995-03-08,"1995",3,8,1.00714285714286,18.4851020408163
1995-03-09,"1995",3,9,1.20714285714286,17.6851020408163
1995-03-10,"1995",3,10,4.60714285714286,19.6851020408163
1995-03-11,"1995",3,11,7.80714285714286,17.1851020408163
1995-03-12,"1995",3,12,11.6561224489796,13.2379591836735
1995-03-13,"1995",3,13,8.25612244897959,17.7379591836735
1995-03-14,"1995",3,14,2.75612244897959,22.9379591836735
1995-03-15,"1995",3,15,2.95612244897959,24.0379591836735
1995-03-16,"1995",3,16,7.85612244897959,20.6379591836735
1995-03-17,"1995",3,17,1.85612244897959,23.7379591836735
1995-03-18,"1995",3,18,6.25612244897959,25.7379591836735
1995-03-19,"1995",3,19,5.3230612244898,27.4863265306122
1995-03-20,"1995",3,20,9.6230612244898,26.4863265306122
1995-03-21,"1995",3,21,8.1230612244898,18.0863265306123
1995-03-22,"1995",3,22,4.8230612244898,17.5863265306123
1995-03-23,"1995",3,23,6.3230612244898,17.7863265306122
1995-03-24,"1995",3,24,1.1230612244898,20.6863265306122
1995-03-25,"1995",3,25,1.8230612244898,23.7863265306122
1995-03-26,"1995",3,26,4.11183673469388,22.9975510204082
1995-03-27,"1995",3,27,3.81183673469388,28.6975510204082
1995-03-28,"1995",3,28,10.3118367346939,25.7975510204082
1995-03-29,"1995",3,29,5.91183673469388,27.0975510204082
1995-03-30,"1995",3,30,8.91183673469388,16.5975510204082
1995-03-31,"1995",3,31,5.21183673469388,17.1975510204082
1995-04-01,"1995",4,1,1.41183673469388,20.6975510204082
1995-04-02,"1995",4,2,2.51408163265306,21.2559183673469
1995-04-03,"1995",4,3,3.41408163265306,21.8559183673469
1995-04-04,"1995",4,4,3.11408163265306,24.3559183673469
1995-04-05,"1995",4,5,5.81408163265306,25.6559183673469
1995-04-06,"1995",4,6,4.71408163265306,26.7559183673469
1995-04-07,"1995",4,7,5.91408163265306,22.1559183673469
1995-04-08,"1995",4,8,6.71408163265306,26.4559183673469
1995-04-09,"1995",4,9,7.31428571428571,28.9202040816327
1995-04-10,"1995",4,10,4.51428571428571,26.3202040816326
1995-04-11,"1995",4,11,6.81428571428571,24.4202040816327
1995-04-12,"1995",4,12,5.21428571428571,25.4202040816327
1995-04-13,"1995",4,13,6.31428571428571,26.6202040816327
1995-04-14,"1995",4,14,9.01428571428571,18.1202040816327
1995-04-15,"1995",4,15,6.01428571428571,21.7202040816327
1995-04-16,"1995",4,16,4.26302721088435,24.0499659863946
1995-04-17,"1995",4,17,5.46302721088435,22.0499659863946
1995-04-18,"1995",4,18,4.96302721088435,26.4499659863946
1995-04-19,"1995",4,19,8.56302721088435,29.6499659863946
1995-04-20,"1995",4,20,10.8630272108844,22.7499659863946
1995-04-21,"1995",4,21,7.36302721088435,17.1499659863946
1995-04-22,"1995",4,22,4.26302721088435,19.3499659863946
1995-04-23,"1995",4,23,6.43061224489796,16.5118367346939
1995-04-24,"1995",4,24,5.83061224489796,13.3118367346939
1995-04-25,"1995",4,25,5.23061224489796,19.0118367346939
1995-04-26,"1995",4,26,4.83061224489796,15.9118367346939
1995-04-27,"1995",4,27,3.83061224489796,21.3118367346939
