species,cultivar,location,climatic_classification,climatic_data,year,dormancy_break_field,breaking_dormancy_40_baggiolini,begin_flowering_f5,flowering_f50,flowering_f90,end_flowering,ripening,bud_drop,flower_anomaly,spring_frost_damage,productivity,fruit_quality,rootstock,plantation_framework,training_system,irrigation_system,source,comment,country
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,1999,NA,NA,NA,3/9/1999,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2000,NA,NA,NA,3/2/2000,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2001,NA,NA,NA,3/8/2001,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2002,NA,NA,NA,3/2/2002,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2003,NA,NA,NA,3/10/2003,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2004,NA,NA,NA,3/6/2004,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2005,NA,NA,NA,3/21/2005,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2006,NA,NA,NA,3/11/2006,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2009,NA,NA,NA,3/6/2009,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2010,NA,NA,NA,3/18/2010,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2011,NA,NA,NA,3/10/2011,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2012,NA,NA,NA,3/13/2012,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2013,NA,NA,NA,3/10/2013,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2014,NA,NA,NA,3/10/2014,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2015,NA,NA,NA,3/15/2015,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2016,NA,NA,NA,2/29/2016,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2017,NA,NA,NA,3/1/2017,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Mitger,Zaragoza,Arid Cold steppe ,Yes,2018,NA,NA,NA,3/14/2018,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
