"species","cultivar","yday","year","split","ncal","location","loc.year"
"Almond","Achaak",33,2007,"Calibration","full","Santomera","Santomera.2007"
"Almond","Achaak",31,1998,"Calibration","full","Santomera","Santomera.1998"
"Almond","Achaak",22,2012,"Calibration","full","Santomera","Santomera.2012"
"Almond","Achaak",31,2011,"Calibration","full","Santomera","Santomera.2011"
"Almond","Achaak",26,2017,"Calibration","full","Santomera","Santomera.2017"
"Almond","Achaak",28,2019,"Calibration","full","Santomera","Santomera.2019"
"Almond","Achaak",30,2006,"Calibration","full","Santomera","Santomera.2006"
"Almond","Achaak",28,1997,"Calibration","full","Santomera","Santomera.1997"
"Almond","Achaak",18,2013,"Calibration","full","Santomera","Santomera.2013"
"Almond","Achaak",29,2018,"Calibration","full","Santomera","Santomera.2018"
"Almond","Desmayo",20,2020,"Calibration","full","Santomera","Santomera.2020"
"Almond","Desmayo",31,1998,"Calibration","full","Santomera","Santomera.1998"
"Almond","Desmayo",36,2007,"Calibration","full","Santomera","Santomera.2007"
"Almond","Desmayo",28,2016,"Calibration","full","Santomera","Santomera.2016"
"Almond","Desmayo",31,2011,"Calibration","full","Santomera","Santomera.2011"
"Almond","Desmayo",30,2012,"Calibration","full","Santomera","Santomera.2012"
"Almond","Desmayo",21,2013,"Calibration","full","Santomera","Santomera.2013"
"Almond","Desmayo",34,2006,"Calibration","full","Santomera","Santomera.2006"
"Almond","Desmayo",31,2019,"Calibration","full","Santomera","Santomera.2019"
"Almond","Desmayo",29,2018,"Calibration","full","Santomera","Santomera.2018"
"Almond","Desmayo",30,2005,"Calibration","full","Santomera","Santomera.2005"
"Almond","Desmayo",36,2003,"Calibration","full","Santomera","Santomera.2003"
"Almond","Desmayo",40,2010,"Calibration","full","Santomera","Santomera.2010"
"Almond","Desmayo",24,2014,"Calibration","full","Santomera","Santomera.2014"
"Almond","Desmayo",22,2004,"Calibration","full","Santomera","Santomera.2004"
"Almond","Fasciuneddu",76,2013,"Calibration","full","Sfax","Sfax.2013"
"Almond","Fasciuneddu",49,1982,"Calibration","full","Sfax","Sfax.1982"
"Almond","Fasciuneddu",54,1993,"Calibration","full","Sfax","Sfax.1993"
"Almond","Fasciuneddu",64,2005,"Calibration","full","Sfax","Sfax.2005"
"Almond","Fasciuneddu",42,1999,"Calibration","full","Sfax","Sfax.1999"
"Almond","Fasciuneddu",51,2001,"Calibration","full","Sfax","Sfax.2001"
"Almond","Fasciuneddu",46,2002,"Calibration","full","Sfax","Sfax.2002"
"Almond","Fasciuneddu",42,1992,"Calibration","full","Sfax","Sfax.1992"
"Almond","Fasciuneddu",42,2015,"Calibration","full","Sfax","Sfax.2015"
"Almond","Fasciuneddu",51,2006,"Calibration","full","Sfax","Sfax.2006"
"Almond","Fasciuneddu",47,1991,"Calibration","full","Sfax","Sfax.1991"
