"species","cultivar","location","flowering_f50","year","yday","split","ncal"
"Apricot","Henderson","Zaragoza","3/14/2006",2006,73,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/16/2021",2021,75,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/8/2019",2019,67,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/15/2020",2020,75,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/16/2012",2012,76,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/9/1999",1999,68,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/23/2004",2004,83,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/18/2015",2015,77,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/15/2001",2001,74,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/17/2014",2014,76,"Calibration","full"
"Apricot","Henderson","Zaragoza","2/29/2000",2000,60,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/25/2010",2010,84,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/19/2003",2003,78,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/21/2005",2005,80,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/2/2002",2002,61,"Calibration","full"
"Apricot","Henderson","Zaragoza","3/18/2015",2015,77,"Calibration","scarce"
"Apricot","Henderson","Zaragoza","3/8/2019",2019,67,"Calibration","scarce"
"Apricot","Henderson","Zaragoza","3/15/2020",2020,75,"Calibration","scarce"
"Apricot","Henderson","Zaragoza","3/25/2010",2010,84,"Calibration","scarce"
"Apricot","Henderson","Zaragoza","3/16/2021",2021,75,"Calibration","scarce"
"Apricot","Henderson","Zaragoza","2/29/2000",2000,60,"Calibration","scarce"
"Apricot","Henderson","Zaragoza","3/15/2001",2001,74,"Calibration","scarce"
"Apricot","Henderson","Zaragoza","3/9/1999",1999,68,"Calibration","scarce"
"Apricot","Henderson","Zaragoza","3/17/2014",2014,76,"Calibration","scarce"
"Apricot","Henderson","Zaragoza","3/23/2004",2004,83,"Calibration","scarce"
"Apricot","Henderson","Zaragoza","3/11/2009",2009,70,"Validation","full"
"Apricot","Henderson","Zaragoza","3/11/2011",2011,70,"Validation","full"
"Apricot","Henderson","Zaragoza","3/23/2013",2013,82,"Validation","full"
"Apricot","Henderson","Zaragoza","3/2/2016",2016,62,"Validation","full"
"Apricot","Henderson","Zaragoza","3/3/2017",2017,62,"Validation","full"
"Apricot","Henderson","Zaragoza","3/20/2018",2018,79,"Validation","full"
"Apricot","Henderson","Zaragoza","3/2/2002",2002,61,"Validation","scarce"
"Apricot","Henderson","Zaragoza","3/19/2003",2003,78,"Validation","scarce"
"Apricot","Henderson","Zaragoza","3/21/2005",2005,80,"Validation","scarce"
"Apricot","Henderson","Zaragoza","3/14/2006",2006,73,"Validation","scarce"
"Apricot","Henderson","Zaragoza","3/11/2009",2009,70,"Validation","scarce"
"Apricot","Henderson","Zaragoza","3/11/2011",2011,70,"Validation","scarce"
"Apricot","Henderson","Zaragoza","3/16/2012",2012,76,"Validation","scarce"
"Apricot","Henderson","Zaragoza","3/23/2013",2013,82,"Validation","scarce"
"Apricot","Henderson","Zaragoza","3/2/2016",2016,62,"Validation","scarce"
"Apricot","Henderson","Zaragoza","3/3/2017",2017,62,"Validation","scarce"
"Apricot","Henderson","Zaragoza","3/20/2018",2018,79,"Validation","scarce"
"Apricot","Harcot","Zaragoza","3/19/2004",2004,79,"Calibration","full"
"Apricot","Harcot","Zaragoza","3/11/2013",2013,70,"Calibration","full"
"Apricot","Harcot","Zaragoza","2/29/2000",2000,60,"Calibration","full"
"Apricot","Harcot","Zaragoza","3/14/2012",2012,74,"Calibration","full"
"Apricot","Harcot","Zaragoza","3/18/2005",2005,77,"Calibration","full"
"Apricot","Harcot","Zaragoza","3/12/2003",2003,71,"Calibration","full"
"Apricot","Harcot","Zaragoza","3/7/2001",2001,66,"Calibration","full"
"Apricot","Harcot","Zaragoza","3/2/2022",2022,61,"Calibration","full"
"Apricot","Harcot","Zaragoza","3/6/2011",2011,65,"Calibration","full"
"Apricot","Harcot","Zaragoza","2/27/2016",2016,58,"Calibration","full"
"Apricot","Harcot","Zaragoza","2/28/2002",2002,59,"Calibration","full"
