"species","cultivar","location","flowering_f50","year","yday","split","ncal"
"Sweet Cherry","Rainier","Zaragoza","3/26/1998",1998,85,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/21/2022",2022,80,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","4/1/2016",2016,92,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/18/2021",2021,77,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/26/2009",2009,85,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/26/2014",2014,85,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/30/2012",2012,90,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/17/2017",2017,76,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/26/1992",1992,86,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","4/1/2015",2015,91,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","4/13/2000",2000,104,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/24/1995",1995,83,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/20/1994",1994,79,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","4/2/2018",2018,92,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","4/5/1993",1993,95,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/22/2019",2019,81,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/23/2001",2001,82,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/27/1999",1999,86,"Calibration","full"
"Sweet Cherry","Rainier","Zaragoza","3/21/2022",2022,80,"Calibration","scarce"
"Sweet Cherry","Rainier","Zaragoza","3/26/2014",2014,85,"Calibration","scarce"
"Sweet Cherry","Rainier","Zaragoza","3/27/1999",1999,86,"Calibration","scarce"
"Sweet Cherry","Rainier","Zaragoza","4/1/2015",2015,91,"Calibration","scarce"
"Sweet Cherry","Rainier","Zaragoza","3/23/2001",2001,82,"Calibration","scarce"
"Sweet Cherry","Rainier","Zaragoza","3/20/1994",1994,79,"Calibration","scarce"
