"DATE","Year","Month","Day","Tmin","Tmax","Tmean","Prec","source_Tmin","source_Tmax"
1973-01-01 12:00:00,1973,1,1,3,7,5.66666666666667,NA,NA,NA
1973-01-02 12:00:00,1973,1,2,0.999999999999998,13,6.72222222222222,0,NA,NA
1973-01-03 12:00:00,1973,1,3,3,13,6.83333333333333,0,NA,NA
1973-01-04 12:00:00,1973,1,4,5,16,8.88888888888889,0,NA,NA
1973-01-05 12:00:00,1973,1,5,7,15,9.61111111111111,0,NA,NA
1973-01-06 12:00:00,1973,1,6,6,14,8.72222222222222,0,NA,NA
1973-01-07 12:00:00,1973,1,7,3,14,8.5,0,NA,NA
1973-01-08 12:00:00,1973,1,8,4,14,7.22222222222222,0,NA,NA
1973-01-09 12:00:00,1973,1,9,2,17,7.5,0,NA,NA
1973-01-10 12:00:00,1973,1,10,4,15,9,0,NA,NA
1973-01-11 12:00:00,1973,1,11,6,16,9.72222222222222,0,NA,NA
1973-01-12 12:00:00,1973,1,12,5,19,12.3888888888889,0,NA,NA
1973-01-13 12:00:00,1973,1,13,9,12,10.3888888888889,NA,NA,NA
1973-01-14 12:00:00,1973,1,14,5,14,9.83333333333334,NA,NA,NA
1973-01-15 12:00:00,1973,1,15,7,13,10.2777777777778,NA,NA,NA
1973-01-16 12:00:00,1973,1,16,10,17,12.8888888888889,NA,NA,NA
1973-01-17 12:00:00,1973,1,17,7,10,8.5,NA,NA,NA
1973-01-18 12:00:00,1973,1,18,6,10,7.72222222222222,NA,NA,NA
1973-01-19 12:00:00,1973,1,19,6.33333333333333,12,NA,NA,"linear_interpolation","linear_interpolation"
1973-01-20 12:00:00,1973,1,20,6.66666666666667,14,NA,NA,"linear_interpolation","linear_interpolation"
1973-01-21 12:00:00,1973,1,21,7,16,10.1666666666667,0,NA,NA
1973-01-22 12:00:00,1973,1,22,3,11,10,0,NA,NA
1973-01-23 12:00:00,1973,1,23,3,13,6.88888888888889,0,NA,NA
1973-01-24 12:00:00,1973,1,24,3,17,7.88888888888889,0,NA,NA
1973-01-25 12:00:00,1973,1,25,7,19,11.8333333333333,0,NA,NA
1973-01-26 12:00:00,1973,1,26,5,19,10.7777777777778,0,NA,NA
1973-01-27 12:00:00,1973,1,27,6,18,10.1111111111111,0,NA,NA
1973-01-28 12:00:00,1973,1,28,2,14,7.16666666666667,0,NA,NA
1973-01-29 12:00:00,1973,1,29,0.999999999999998,17,9,0,NA,NA
1973-01-30 12:00:00,1973,1,30,5,13,7.38888888888889,NA,NA,NA
1973-01-31 12:00:00,1973,1,31,9,11,10,0,NA,NA
1973-02-01 12:00:00,1973,2,1,6,8,7.72222222222222,NA,NA,NA
1973-02-02 12:00:00,1973,2,2,6,14,9.33333333333333,NA,NA,NA
1973-02-03 12:00:00,1973,2,3,3,14,7.55555555555556,0,NA,NA
1973-02-04 12:00:00,1973,2,4,0.999999999999998,15,7.11111111111111,0,NA,NA
1973-02-05 12:00:00,1973,2,5,4,17,7.55555555555556,0,NA,NA
1973-02-06 12:00:00,1973,2,6,4,19,10.2222222222222,0,NA,NA
1973-02-07 12:00:00,1973,2,7,2,20,11.2777777777778,0,NA,NA
