"cultivar","location","yc","zc","s1","Tu","theta_star","theta_c","tau","pie_c","Tf","Tc","Tb","slope","E0","E1","A0","A1","fit","n_cal"
"Henderson","Zaragoza",42.1927570228329,237.119438203603,0.693881424346654,15.7495412102924,279,286.212813800418,40.6146168798729,25.5494560766514,6.97875238851479,36,7.68467311618944,3.4807896972374,NA,NA,NA,NA,"combined","full"
"Harcot","Zaragoza",30.3354755919609,276.256184692371,0.54067052290095,15.7495412102924,279,286.212813800418,40.6146168798729,25.5494560766514,6.97875238851479,36,7.68467311618944,3.4807896972374,NA,NA,NA,NA,"combined","full"
"Goldrich","Zaragoza",32.1587469758902,244.738058364451,0.595770803212837,15.7495412102924,279,286.212813800418,40.6146168798729,25.5494560766514,6.97875238851479,36,7.68467311618944,3.4807896972374,NA,NA,NA,NA,"combined","full"
"Sunglo","Zaragoza",35.6964763618308,265.448929795183,0.319273723637875,15.7495412102924,279,286.212813800418,40.6146168798729,25.5494560766514,6.97875238851479,36,7.68467311618944,3.4807896972374,NA,NA,NA,NA,"combined","full"
"Búlida","Cieza",28.1644401303869,387.929610608822,0.288674656666036,15.7495412102924,279,286.212813800418,40.6146168798729,25.5494560766514,6.97875238851479,36,7.68467311618944,3.4807896972374,NA,NA,NA,NA,"combined","full"
"Dorada","Cieza",34.5558174245389,419.199937293053,0.452253203882871,15.7495412102924,279,286.212813800418,40.6146168798729,25.5494560766514,6.97875238851479,36,7.68467311618944,3.4807896972374,NA,NA,NA,NA,"combined","full"
"Henderson","Zaragoza",46.3791280000072,275.276107929893,0.95465597799574,17.1354830450055,279,286.584327125093,44.4394741711019,28.042522026582,4.6117711297383,36,5.85650713098679,4.66667999641703,NA,NA,NA,NA,"combined","scarce"
"Harcot","Zaragoza",33.9138081232235,288.621956219589,0.414975601256371,17.1354830450055,279,286.584327125093,44.4394741711019,28.042522026582,4.6117711297383,36,5.85650713098679,4.66667999641703,NA,NA,NA,NA,"combined","scarce"
"Goldrich","Zaragoza",34.037004386992,263.906066516956,0.370559375475565,17.1354830450055,279,286.584327125093,44.4394741711019,28.042522026582,4.6117711297383,36,5.85650713098679,4.66667999641703,NA,NA,NA,NA,"combined","scarce"
"Sunglo","Zaragoza",29.3301087379684,382.976624608362,1.01361749960063,17.1354830450055,279,286.584327125093,44.4394741711019,28.042522026582,4.6117711297383,36,5.85650713098679,4.66667999641703,NA,NA,NA,NA,"combined","scarce"
"Búlida","Cieza",30.2338879086402,402.72619975033,0.313347942565109,17.1354830450055,279,286.584327125093,44.4394741711019,28.042522026582,4.6117711297383,36,5.85650713098679,4.66667999641703,NA,NA,NA,NA,"combined","scarce"
"Dorada","Cieza",34.9554339243149,454.410857757012,0.490549755205705,17.1354830450055,279,286.584327125093,44.4394741711019,28.042522026582,4.6117711297383,36,5.85650713098679,4.66667999641703,NA,NA,NA,NA,"combined","scarce"
"Henderson","Zaragoza",46.3082573597354,187.908687583467,0.52275226023155,24.3847879424084,279,286.373511180253,43.6446818259653,39.3443228333042,4.59635140430607,36,3.86791301768152,4.83968008492839,NA,NA,NA,NA,"single","full"
"Harcot","Zaragoza",37.2167802983114,142.689528817244,0.311265467620934,25.2616134669046,279,286.179820966581,37.592494734708,26.3076079524551,4.40671538570427,36,5.78136652277961,2.59149635392969,NA,NA,NA,NA,"single","full"
"Goldrich","Zaragoza",44.1915332570514,113.278838523227,0.167106579976094,21.8290586563658,279,286.0098476072,34.6313191231152,26.2731317965734,2.22287035824051,36,7.4619888582463,2.64065299537705,NA,NA,NA,NA,"single","full"
"Sunglo","Zaragoza",44.3730243243532,207.73694063815,0.570482402053147,21.8435559019471,279,286.558184663307,43.3595064963339,31.4026225932248,2.61347364581407,36,5.05138198602283,2.92414711574945,NA,NA,NA,NA,"single","full"
"Búlida","Cieza",32.315264780262,438.777164391293,0.229179115623009,23.5909692645329,279,286.091051391369,38.5567849201852,26.5672731700314,2.90356533830605,36,0.821409977412993,3.40426772974591,NA,NA,NA,NA,"single","full"
"Dorada","Cieza",22.9032136654044,445.130120117578,0.685358506097583,23.696658844118,279,286.527753013831,46.1850596444955,32.0915321470415,7.71655136001353,36,3.06042686408717,1.30361924719642,NA,NA,NA,NA,"single","full"
"Henderson","Zaragoza",46.5744994690749,185.956323162979,0.932750025976557,22.7923506279833,279,286.554466734917,44.8625978261674,28.7817105656667,4.66244395839146,36,5.07542988133843,3.78638700145035,NA,NA,NA,NA,"single","scarce"
"Harcot","Zaragoza",37.0019702092932,200.2729666548,0.277653612890444,22.8688678370919,279,286.023268321165,38.4451328816758,24.3913176518911,3.97724846824705,36,4.89184230495304,4.97084351179141,NA,NA,NA,NA,"single","scarce"
"Goldrich","Zaragoza",39.763348514503,165.19986873853,0.308660315620033,16.3878652462129,279,286.291979481643,32.4347611822291,26.0358897852571,2.54677411924003,36,9.99407084157857,1.57530366620895,NA,NA,NA,NA,"single","scarce"
"Sunglo","Zaragoza",64.6597033133405,222.655285740974,1.19326570698405,18.7271499762233,279,286.172876769285,32.1992654451912,28.7876009311904,2.39578436991373,36,5.69048068819559,4.09439350095234,NA,NA,NA,NA,"single","scarce"
"Búlida","Cieza",33.954490912287,406.196989532493,0.157449428227309,22.1752480758055,279,286.401956181342,37.120241790154,29.5295890481406,6.46847766829212,36,1.17706595621853,3.97264162637791,NA,NA,NA,NA,"single","scarce"
"Dorada","Cieza",33.2848160626933,386.595524139931,0.68695480741292,18.0608778040766,279,286.336545412896,43.8891391750793,34.6798786157837,5.24692919540602,36,6.82991460248647,3.96882361633885,NA,NA,NA,NA,"single","scarce"
