"cultivar","location","yc","zc","s1","Tu","theta_star","theta_c","tau","pie_c","Tf","Tc","Tb","slope","E0","E1","A0","A1","fit","n_cal"
"Rainier","Zaragoza",58.8696162332344,275.341041276554,0.10030687815936,18.1372455052887,279,286.257057726426,39.0019589396963,31.7335148701494,5.11336729851812,36,4.33276173893205,2.36516681208473,NA,NA,NA,NA,"combined","full"
"Sam","Zaragoza",49.7283748206504,553.017074544853,1.18690447752528,18.1372455052887,279,286.257057726426,39.0019589396963,31.7335148701494,5.11336729851812,36,4.33276173893205,2.36516681208473,NA,NA,NA,NA,"combined","full"
"Van","Zaragoza",41.5681926359619,516.418388009273,0.17611331100141,18.1372455052887,279,286.257057726426,39.0019589396963,31.7335148701494,5.11336729851812,36,4.33276173893205,2.36516681208473,NA,NA,NA,NA,"combined","full"
"Burlat","Klein-Altendorf",28.2255343299625,398.825781721091,0.197982708527213,18.1372455052887,279,286.257057726426,39.0019589396963,31.7335148701494,5.11336729851812,36,4.33276173893205,2.36516681208473,NA,NA,NA,NA,"combined","full"
"Regina","Klein-Altendorf",59.8062007039278,358.073045879606,0.835349375062533,18.1372455052887,279,286.257057726426,39.0019589396963,31.7335148701494,5.11336729851812,36,4.33276173893205,2.36516681208473,NA,NA,NA,NA,"combined","full"
"Schneiders","Klein-Altendorf",68.775451744565,276.669879016432,0.209435200513852,18.1372455052887,279,286.257057726426,39.0019589396963,31.7335148701494,5.11336729851812,36,4.33276173893205,2.36516681208473,NA,NA,NA,NA,"combined","full"
"Rainier","Zaragoza",45.8979292587421,509.274199376566,0.316931562755443,18.2529709689573,279,286.38401103134,38.7666363052708,32.4306383376219,3.54193154825791,36,3.98438158699377,3.8686930517725,NA,NA,NA,NA,"combined","scarce"
"Sam","Zaragoza",52.090747071214,537.501957216004,0.27111316231631,18.2529709689573,279,286.38401103134,38.7666363052708,32.4306383376219,3.54193154825791,36,3.98438158699377,3.8686930517725,NA,NA,NA,NA,"combined","scarce"
"Van","Zaragoza",51.4377447847217,513.053632785178,0.682611073820346,18.2529709689573,279,286.38401103134,38.7666363052708,32.4306383376219,3.54193154825791,36,3.98438158699377,3.8686930517725,NA,NA,NA,NA,"combined","scarce"
"Burlat","Klein-Altendorf",77.0117014168779,260.185828439956,1.18961605880784,18.2529709689573,279,286.38401103134,38.7666363052708,32.4306383376219,3.54193154825791,36,3.98438158699377,3.8686930517725,NA,NA,NA,NA,"combined","scarce"
"Regina","Klein-Altendorf",75.4493306004388,338.67600231531,1.19110278137974,18.2529709689573,279,286.38401103134,38.7666363052708,32.4306383376219,3.54193154825791,36,3.98438158699377,3.8686930517725,NA,NA,NA,NA,"combined","scarce"
"Schneiders","Klein-Altendorf",76.1397621400376,307.609079953563,1.17920837723428,18.2529709689573,279,286.38401103134,38.7666363052708,32.4306383376219,3.54193154825791,36,3.98438158699377,3.8686930517725,NA,NA,NA,NA,"combined","scarce"
