"predicted","species","cultivar","ncal","split","location","year","fit","observed"
38.21,"Almond","Achaak","scarce","Calibration","Santomera",2007,"single",33
29.21,"Almond","Achaak","scarce","Calibration","Santomera",1998,"single",31
26.29,"Almond","Achaak","scarce","Calibration","Santomera",2012,"single",22
29.12,"Almond","Achaak","scarce","Calibration","Santomera",2011,"single",31
32.29,"Almond","Achaak","scarce","Calibration","Santomera",2017,"single",26
28.08,"Almond","Achaak","scarce","Calibration","Santomera",2019,"single",28
33.08,"Almond","Achaak","scarce","Calibration","Santomera",2006,"single",30
32.29,"Almond","Achaak","scarce","Calibration","Santomera",1997,"single",28
15.12,"Almond","Achaak","scarce","Calibration","Santomera",2013,"single",18
20.33,"Almond","Achaak","scarce","Calibration","Santomera",2018,"single",29
21.21,"Almond","Achaak","scarce","Validation","Santomera",2008,"single",22
17.04,"Almond","Achaak","scarce","Validation","Santomera",2014,"single",18
34.29,"Almond","Achaak","scarce","Validation","Santomera",2015,"single",33
22.29,"Almond","Desmayo","scarce","Calibration","Santomera",2020,"single",20
30.17,"Almond","Desmayo","scarce","Calibration","Santomera",1998,"single",31
38.42,"Almond","Desmayo","scarce","Calibration","Santomera",2007,"single",36
33.38,"Almond","Desmayo","scarce","Calibration","Santomera",2016,"single",28
33.42,"Almond","Desmayo","scarce","Calibration","Santomera",2011,"single",31
49.29,"Almond","Desmayo","scarce","Calibration","Santomera",2012,"single",30
19.12,"Almond","Desmayo","scarce","Calibration","Santomera",2013,"single",21
34.67,"Almond","Desmayo","scarce","Calibration","Santomera",2006,"single",34
30.08,"Almond","Desmayo","scarce","Calibration","Santomera",2019,"single",31
27.17,"Almond","Desmayo","scarce","Calibration","Santomera",2018,"single",29
29.29,"Almond","Desmayo","scarce","Validation","Santomera",1997,"single",22
36.42,"Almond","Desmayo","scarce","Validation","Santomera",2003,"single",36
22.08,"Almond","Desmayo","scarce","Validation","Santomera",2004,"single",22
28.08,"Almond","Desmayo","scarce","Validation","Santomera",2005,"single",30
21.46,"Almond","Desmayo","scarce","Validation","Santomera",2008,"single",22
26.42,"Almond","Desmayo","scarce","Validation","Santomera",2009,"single",26
39.83,"Almond","Desmayo","scarce","Validation","Santomera",2010,"single",40
20.29,"Almond","Desmayo","scarce","Validation","Santomera",2014,"single",24
39.29,"Almond","Desmayo","scarce","Validation","Santomera",2015,"single",38
33.96,"Almond","Desmayo","scarce","Validation","Santomera",2017,"single",30
16.29,"Almond","Desmayo","scarce","Validation","Santomera",2022,"single",15
61,"Almond","Fasciuneddu","scarce","Calibration","Sfax",2013,"single",76
51.12,"Almond","Fasciuneddu","scarce","Calibration","Sfax",1982,"single",49
55.25,"Almond","Fasciuneddu","scarce","Calibration","Sfax",1993,"single",54
57.08,"Almond","Fasciuneddu","scarce","Calibration","Sfax",2005,"single",64
39.04,"Almond","Fasciuneddu","scarce","Calibration","Sfax",1999,"single",42
54.33,"Almond","Fasciuneddu","scarce","Calibration","Sfax",2001,"single",51
46.83,"Almond","Fasciuneddu","scarce","Calibration","Sfax",2002,"single",46
41.29,"Almond","Fasciuneddu","scarce","Calibration","Sfax",1992,"single",42
53.29,"Almond","Fasciuneddu","scarce","Calibration","Sfax",2015,"single",42
46,"Almond","Fasciuneddu","scarce","Calibration","Sfax",2006,"single",51
45.71,"Almond","Fasciuneddu","scarce","Validation","Sfax",1981,"single",59
45.17,"Almond","Fasciuneddu","scarce","Validation","Sfax",1986,"single",49
40.08,"Almond","Fasciuneddu","scarce","Validation","Sfax",1987,"single",40
48.12,"Almond","Fasciuneddu","scarce","Validation","Sfax",1991,"single",47
47.96,"Almond","Fasciuneddu","scarce","Validation","Sfax",1995,"single",54
49.08,"Almond","Fasciuneddu","scarce","Validation","Sfax",1996,"single",45
49.12,"Almond","Fasciuneddu","scarce","Validation","Sfax",1998,"single",46
57.29,"Almond","Fasciuneddu","scarce","Validation","Sfax",2003,"single",50
50.96,"Almond","Fasciuneddu","scarce","Validation","Sfax",2004,"single",47
54.04,"Almond","Fasciuneddu","scarce","Validation","Sfax",2008,"single",44
63.42,"Almond","Fasciuneddu","scarce","Validation","Sfax",2012,"single",73
38.92,"Almond","Fasciuneddu","scarce","Validation","Sfax",2014,"single",41
58.25,"Almond","Ferragnes","scarce","Calibration","Meknes",1978,"single",57
54.08,"Almond","Ferragnes","scarce","Calibration","Meknes",1992,"single",55
61.33,"Almond","Ferragnes","scarce","Calibration","Meknes",1998,"single",64
70.33,"Almond","Ferragnes","scarce","Calibration","Meknes",1988,"single",61
58.33,"Almond","Ferragnes","scarce","Calibration","Meknes",2008,"single",62
67.17,"Almond","Ferragnes","scarce","Calibration","Meknes",1985,"single",69
66.33,"Almond","Ferragnes","scarce","Calibration","Meknes",2011,"single",63
66,"Almond","Ferragnes","scarce","Calibration","Meknes",1986,"single",68
57.96,"Almond","Ferragnes","scarce","Calibration","Meknes",2002,"single",59
60.5,"Almond","Ferragnes","scarce","Calibration","Meknes",1997,"single",61
41.33,"Almond","Ferragnes","scarce","Validation","Meknes",1977,"single",57
81.08,"Almond","Ferragnes","scarce","Validation","Meknes",1979,"single",59
69.04,"Almond","Ferragnes","scarce","Validation","Meknes",1980,"single",59
68.83,"Almond","Ferragnes","scarce","Validation","Meknes",1981,"single",60
80.08,"Almond","Ferragnes","scarce","Validation","Meknes",1982,"single",60
63.42,"Almond","Ferragnes","scarce","Validation","Meknes",1983,"single",61
90.58,"Almond","Ferragnes","scarce","Validation","Meknes",1984,"single",76
58.58,"Almond","Ferragnes","scarce","Validation","Meknes",1987,"single",63
65.67,"Almond","Ferragnes","scarce","Validation","Meknes",1989,"single",61
71.12,"Almond","Ferragnes","scarce","Validation","Meknes",1990,"single",61
79.54,"Almond","Ferragnes","scarce","Validation","Meknes",1991,"single",60
72.12,"Almond","Ferragnes","scarce","Validation","Meknes",1993,"single",63
60.21,"Almond","Ferragnes","scarce","Validation","Meknes",1994,"single",61
74.33,"Almond","Ferragnes","scarce","Validation","Meknes",1995,"single",62
86.17,"Almond","Ferragnes","scarce","Validation","Meknes",1996,"single",63
76.21,"Almond","Ferragnes","scarce","Validation","Meknes",1999,"single",69
65.04,"Almond","Ferragnes","scarce","Validation","Meknes",2000,"single",52
60.33,"Almond","Ferragnes","scarce","Validation","Meknes",2001,"single",58
78.04,"Almond","Ferragnes","scarce","Validation","Meknes",2003,"single",61
54.25,"Almond","Ferragnes","scarce","Validation","Meknes",2004,"single",62
78.79,"Almond","Ferragnes","scarce","Validation","Meknes",2005,"single",60
78.42,"Almond","Ferragnes","scarce","Validation","Meknes",2006,"single",63
66.33,"Almond","Ferragnes","scarce","Validation","Meknes",2007,"single",69
61.33,"Almond","Ferragnes","scarce","Validation","Meknes",2009,"single",55
66.5,"Almond","Ferragnes","scarce","Validation","Meknes",2010,"single",64
74.42,"Almond","Ferragnes","scarce","Validation","Meknes",2012,"single",72
64.04,"Almond","Ferragnes","scarce","Validation","Meknes",2013,"single",62
67.46,"Almond","Ferragnes","scarce","Validation","Meknes",2014,"single",61
41.96,"Almond","Marcona","scarce","Calibration","Meknes",1978,"single",41
44.54,"Almond","Marcona","scarce","Calibration","Meknes",1992,"single",46
57.08,"Almond","Marcona","scarce","Calibration","Meknes",1998,"single",59
53.54,"Almond","Marcona","scarce","Calibration","Meknes",1988,"single",46
48.08,"Almond","Marcona","scarce","Calibration","Meknes",2008,"single",43
53.42,"Almond","Marcona","scarce","Calibration","Meknes",1985,"single",53
46.54,"Almond","Marcona","scarce","Calibration","Meknes",2011,"single",46
56.04,"Almond","Marcona","scarce","Calibration","Meknes",1986,"single",60
40.08,"Almond","Marcona","scarce","Calibration","Meknes",2002,"single",41
50.92,"Almond","Marcona","scarce","Calibration","Meknes",1997,"single",56
35.5,"Almond","Marcona","scarce","Validation","Meknes",1977,"single",41
56.12,"Almond","Marcona","scarce","Validation","Meknes",1979,"single",43
59.25,"Almond","Marcona","scarce","Validation","Meknes",1980,"single",45
59.75,"Almond","Marcona","scarce","Validation","Meknes",1981,"single",48
65.58,"Almond","Marcona","scarce","Validation","Meknes",1982,"single",49
57.25,"Almond","Marcona","scarce","Validation","Meknes",1983,"single",50
76.17,"Almond","Marcona","scarce","Validation","Meknes",1984,"single",64
56.12,"Almond","Marcona","scarce","Validation","Meknes",1987,"single",56
64.17,"Almond","Marcona","scarce","Validation","Meknes",1989,"single",53
66.08,"Almond","Marcona","scarce","Validation","Meknes",1990,"single",51
66.17,"Almond","Marcona","scarce","Validation","Meknes",1991,"single",51
53.08,"Almond","Marcona","scarce","Validation","Meknes",1993,"single",63
46.96,"Almond","Marcona","scarce","Validation","Meknes",1994,"single",60
66.17,"Almond","Marcona","scarce","Validation","Meknes",1995,"single",61
68.08,"Almond","Marcona","scarce","Validation","Meknes",1996,"single",62
68.83,"Almond","Marcona","scarce","Validation","Meknes",1999,"single",64
56.58,"Almond","Marcona","scarce","Validation","Meknes",2000,"single",38
35.17,"Almond","Marcona","scarce","Validation","Meknes",2001,"single",36
61.25,"Almond","Marcona","scarce","Validation","Meknes",2003,"single",43
44.38,"Almond","Marcona","scarce","Validation","Meknes",2004,"single",46
73.42,"Almond","Marcona","scarce","Validation","Meknes",2005,"single",44
69.12,"Almond","Marcona","scarce","Validation","Meknes",2006,"single",46
62.71,"Almond","Marcona","scarce","Validation","Meknes",2007,"single",56
51.25,"Almond","Marcona","scarce","Validation","Meknes",2009,"single",41
59.38,"Almond","Marcona","scarce","Validation","Meknes",2010,"single",48
69.04,"Almond","Marcona","scarce","Validation","Meknes",2012,"single",51
