"Temperature","Chill_response","Heat_response","species","cultivar","fit","n_cal"
-5,1.62406011703095e-05,0,"Almond","Achaak","single","scarce"
-4.9,1.99006365888559e-05,0,"Almond","Achaak","single","scarce"
-4.8,2.43750755345398e-05,0,"Almond","Achaak","single","scarce"
-4.7,2.98500780551625e-05,0,"Almond","Achaak","single","scarce"
-4.6,3.65481804735193e-05,0,"Almond","Achaak","single","scarce"
-4.5,4.47411481814058e-05,0,"Almond","Achaak","single","scarce"
-4.4,5.47608078909643e-05,0,"Almond","Achaak","single","scarce"
-4.3,6.70293964724399e-05,0,"Almond","Achaak","single","scarce"
-4.2,8.20110930626724e-05,0,"Almond","Achaak","single","scarce"
-4.1,0.000100323363383083,0,"Almond","Achaak","single","scarce"
-4,0.000122702673587621,0,"Almond","Achaak","single","scarce"
-3.9,0.000150047473935932,0,"Almond","Achaak","single","scarce"
-3.8,0.000183453637836004,0,"Almond","Achaak","single","scarce"
-3.7,0.000224317166741402,0,"Almond","Achaak","single","scarce"
-3.6,0.000274162411709242,0,"Almond","Achaak","single","scarce"
-3.5,0.000335024855881066,0,"Almond","Achaak","single","scarce"
-3.4,0.000409326715102733,0,"Almond","Achaak","single","scarce"
-3.3,0.000500019927650393,0,"Almond","Achaak","single","scarce"
-3.2,0.00061070138289606,0,"Almond","Achaak","single","scarce"
-3.1,0.000745958599924683,0,"Almond","Achaak","single","scarce"
-3,0.000910765808056757,0,"Almond","Achaak","single","scarce"
-2.9,0.00111179218814247,0,"Almond","Achaak","single","scarce"
-2.8,0.00135695537073758,0,"Almond","Achaak","single","scarce"
-2.7,0.00165589452232081,0,"Almond","Achaak","single","scarce"
-2.6,0.00202034258219822,0,"Almond","Achaak","single","scarce"
-2.5,0.00246528319078332,0,"Almond","Achaak","single","scarce"
-2.4,0.00300684396491449,0,"Almond","Achaak","single","scarce"
-2.3,0.00366674095575371,0,"Almond","Achaak","single","scarce"
-2.2,0.00447069170297995,0,"Almond","Achaak","single","scarce"
-2.1,0.0054499710004705,0,"Almond","Achaak","single","scarce"
-2,0.00664260413237912,0,"Almond","Achaak","single","scarce"
-1.9,0.0080948143134232,0,"Almond","Achaak","single","scarce"
-1.8,0.00986572943143336,0,"Almond","Achaak","single","scarce"
-1.7,0.0120183803194733,0,"Almond","Achaak","single","scarce"
-1.6,0.0146381115589928,0,"Almond","Achaak","single","scarce"
-1.5,0.0178256540852589,0,"Almond","Achaak","single","scarce"
-1.4,0.0217033056830949,0,"Almond","Achaak","single","scarce"
-1.3,0.0264195032682067,0,"Almond","Achaak","single","scarce"
-1.2,0.0321543493360264,0,"Almond","Achaak","single","scarce"
-1.1,0.0391262858611665,0,"Almond","Achaak","single","scarce"
-1,0.0476151807060933,0,"Almond","Achaak","single","scarce"
-0.899999999999999,0.0579153060692138,0,"Almond","Achaak","single","scarce"
-0.8,0.0704277396099827,0,"Almond","Achaak","single","scarce"
-0.7,0.0856231264464081,0,"Almond","Achaak","single","scarce"
-0.6,0.10407073736416,0,"Almond","Achaak","single","scarce"
-0.5,0.1264585678934,0,"Almond","Achaak","single","scarce"
-0.399999999999999,0.153617296185241,0,"Almond","Achaak","single","scarce"
-0.3,0.186548735107554,0,"Almond","Achaak","single","scarce"
-0.199999999999999,0.226534874478199,0,"Almond","Achaak","single","scarce"
-0.0999999999999996,0.274892708427479,0,"Almond","Achaak","single","scarce"
0,0.333425856728148,0,"Almond","Achaak","single","scarce"
0.100000000000001,0.404220427940631,0,"Almond","Achaak","single","scarce"
0.2,0.489767783176485,0,"Almond","Achaak","single","scarce"
0.300000000000001,0.593033598552544,0,"Almond","Achaak","single","scarce"
0.4,0.717534366998093,0,"Almond","Achaak","single","scarce"
0.5,0.867420031508808,0,"Almond","Achaak","single","scarce"
0.600000000000001,1.04756013220982,0,"Almond","Achaak","single","scarce"
0.7,1.26362898066769,0,"Almond","Achaak","single","scarce"
0.800000000000001,1.52272475420616,0,"Almond","Achaak","single","scarce"
0.9,1.83137565924249,0,"Almond","Achaak","single","scarce"
1,2.19849475159319,0,"Almond","Achaak","single","scarce"
1.1,2.63348931402804,0,"Almond","Achaak","single","scarce"
1.2,3.14660398432792,0,"Almond","Achaak","single","scarce"
1.3,3.7487126370224,0,"Almond","Achaak","single","scarce"
1.4,4.45097491670596,0,"Almond","Achaak","single","scarce"
1.5,5.26432991097278,0,"Almond","Achaak","single","scarce"
1.6,6.19880965447732,0,"Almond","Achaak","single","scarce"
1.7,7.26267554481728,0,"Almond","Achaak","single","scarce"
1.8,8.4645982245007,0,"Almond","Achaak","single","scarce"
1.9,9.80037327978086,0,"Almond","Achaak","single","scarce"
2,11.269501149088,0,"Almond","Achaak","single","scarce"
2.1,12.8631245010083,0,"Almond","Achaak","single","scarce"
2.2,14.5663626085511,0,"Almond","Achaak","single","scarce"
2.3,16.3584888477973,0,"Almond","Achaak","single","scarce"
2.4,18.213751512337,0,"Almond","Achaak","single","scarce"
2.5,20.1028115742627,0,"Almond","Achaak","single","scarce"
2.6,20.9519149305615,0,"Almond","Achaak","single","scarce"
2.7,20.954618468786,0,"Almond","Achaak","single","scarce"
2.8,20.9595770841199,0,"Almond","Achaak","single","scarce"
2.9,20.8885867767238,0,"Almond","Achaak","single","scarce"
3,21.0097539361391,0,"Almond","Achaak","single","scarce"
3.1,21.021558386401,0,"Almond","Achaak","single","scarce"
3.2,21.0851875972204,0,"Almond","Achaak","single","scarce"
3.3,21.2006278326362,0,"Almond","Achaak","single","scarce"
3.4,21.136966835715,0,"Almond","Achaak","single","scarce"
3.5,21.4260714604708,0,"Almond","Achaak","single","scarce"
3.6,21.4594900145705,0,"Almond","Achaak","single","scarce"
3.7,21.8838892119078,0,"Almond","Achaak","single","scarce"
3.8,22.0783120200649,0,"Almond","Achaak","single","scarce"
3.9,22.2854522950144,0,"Almond","Achaak","single","scarce"
4,22.7208542578367,0,"Almond","Achaak","single","scarce"
4.1,22.8544197376102,0,"Almond","Achaak","single","scarce"
4.2,23.4758828934661,0,"Almond","Achaak","single","scarce"
4.3,23.8478120470748,0,"Almond","Achaak","single","scarce"
4.4,24.0268166018777,0,"Almond","Achaak","single","scarce"
4.5,24.5572116239853,0,"Almond","Achaak","single","scarce"
4.6,25.1729590827973,0,"Almond","Achaak","single","scarce"
4.7,25.4228368567147,0,"Almond","Achaak","single","scarce"
4.8,26.0933809763711,0,"Almond","Achaak","single","scarce"
4.9,26.1988120271367,0,"Almond","Achaak","single","scarce"
5,27.1214288161233,0,"Almond","Achaak","single","scarce"
5.1,27.4474989271399,0,"Almond","Achaak","single","scarce"
5.2,27.9507314044046,0,"Almond","Achaak","single","scarce"
5.3,28.3242349976839,0,"Almond","Achaak","single","scarce"
5.4,28.5717901767571,0,"Almond","Achaak","single","scarce"
5.5,28.4604550389253,0,"Almond","Achaak","single","scarce"
5.6,29.1322945949479,0,"Almond","Achaak","single","scarce"
5.7,29.0796014393325,0,"Almond","Achaak","single","scarce"
5.8,29.3932327355869,0,"Almond","Achaak","single","scarce"
5.9,29.1887826328055,0,"Almond","Achaak","single","scarce"
6,29.4100267881862,0,"Almond","Achaak","single","scarce"
6.1,29.595448712981,0,"Almond","Achaak","single","scarce"
6.2,29.7501534111315,0,"Almond","Achaak","single","scarce"
6.3,29.3555848282841,0,"Almond","Achaak","single","scarce"
6.4,29.4586253910518,0,"Almond","Achaak","single","scarce"
6.5,29.5425699467913,0,"Almond","Achaak","single","scarce"
6.6,29.610235398105,0,"Almond","Achaak","single","scarce"
6.7,29.6640143024032,0,"Almond","Achaak","single","scarce"
6.8,29.7059306474749,0,"Almond","Achaak","single","scarce"
6.9,29.7376909711709,0,"Almond","Achaak","single","scarce"
7,29.7607302287387,0,"Almond","Achaak","single","scarce"
7.1,29.1894661189346,0,"Almond","Achaak","single","scarce"
7.2,29.1957463465628,0,"Almond","Achaak","single","scarce"
7.3,29.1963909533174,0,"Almond","Achaak","single","scarce"
7.4,29.1921025219871,0,"Almond","Achaak","single","scarce"
7.5,29.183467216705,0,"Almond","Achaak","single","scarce"
7.6,29.1709736864562,0,"Almond","Achaak","single","scarce"
7.7,29.1550290428899,0,"Almond","Achaak","single","scarce"
7.8,29.1359723221238,0,"Almond","Achaak","single","scarce"
7.9,29.1140857972845,0,"Almond","Achaak","single","scarce"
8,29.0896044648158,0,"Almond","Achaak","single","scarce"
8.1,29.062723985647,0,"Almond","Achaak","single","scarce"
8.2,29.0336073235295,0,"Almond","Achaak","single","scarce"
8.3,29.0023902879123,0,"Almond","Achaak","single","scarce"
8.4,29.3367265911243,0,"Almond","Achaak","single","scarce"
8.5,29.2980123635261,0,"Almond","Achaak","single","scarce"
8.6,29.2574517056437,0,"Almond","Achaak","single","scarce"
8.7,29.2151136211889,0,"Almond","Achaak","single","scarce"
8.8,29.1710562453672,0,"Almond","Achaak","single","scarce"
8.9,29.1253287510025,0,"Almond","Achaak","single","scarce"
9,29.0779729337489,0,"Almond","Achaak","single","scarce"
9.1,29.0290245301302,0,"Almond","Achaak","single","scarce"
9.2,28.2947817688752,0,"Almond","Achaak","single","scarce"
9.3,28.2408401176658,0,"Almond","Achaak","single","scarce"
9.4,28.1854237722271,0,"Almond","Achaak","single","scarce"
9.5,28.1285540944249,0,"Almond","Achaak","single","scarce"
9.6,28.0702503199197,0,"Almond","Achaak","single","scarce"
9.7,28.0105299885463,0,"Almond","Achaak","single","scarce"
9.8,27.22405336486,0,"Almond","Achaak","single","scarce"
9.9,27.1601653265605,0,"Almond","Achaak","single","scarce"
10,27.0949498303008,0,"Almond","Achaak","single","scarce"
10.1,27.0284212400043,0.000523179743154689,"Almond","Achaak","single","scarce"
