"DATE","Year","Month","Day","Tmean","Tmax","Tmin","no_Tmin","no_Tmax"
1973-01-01 12:00:00,1973,1,1,8.444444444,12,4,FALSE,FALSE
1973-01-02 12:00:00,1973,1,2,11,16,7,FALSE,FALSE
1973-01-03 12:00:00,1973,1,3,9.722222222,15,4,FALSE,FALSE
1973-01-04 12:00:00,1973,1,4,11.16666667,16,3,FALSE,FALSE
1973-01-05 12:00:00,1973,1,5,10.61111111,17,5,FALSE,FALSE
1973-01-06 12:00:00,1973,1,6,11,15,8,FALSE,FALSE
1973-01-07 12:00:00,1973,1,7,10.66666667,16,6,FALSE,FALSE
1973-01-08 12:00:00,1973,1,8,9.388888889,14,5,FALSE,FALSE
1973-01-09 12:00:00,1973,1,9,11,15,6,FALSE,FALSE
1973-01-10 12:00:00,1973,1,10,10,15,7,FALSE,FALSE
1973-01-11 12:00:00,1973,1,11,11,15,7,FALSE,FALSE
1973-01-12 12:00:00,1973,1,12,NA,15.5,6,TRUE,TRUE
1973-01-13 12:00:00,1973,1,13,10,16,5,FALSE,FALSE
1973-01-14 12:00:00,1973,1,14,8.277777778,14,1,FALSE,FALSE
1973-01-15 12:00:00,1973,1,15,10.83333333,17,5,FALSE,FALSE
1973-01-16 12:00:00,1973,1,16,10.16666667,18,4,FALSE,FALSE
1973-01-17 12:00:00,1973,1,17,11.83333333,16,7,FALSE,FALSE
1973-01-18 12:00:00,1973,1,18,14.33333333,20,11,FALSE,FALSE
1973-01-19 12:00:00,1973,1,19,NA,18.5,9,TRUE,TRUE
1973-01-20 12:00:00,1973,1,20,10.27777778,17,7,FALSE,FALSE
1973-01-21 12:00:00,1973,1,21,12.61111111,20,5,FALSE,FALSE
1973-01-22 12:00:00,1973,1,22,11,16,5,FALSE,FALSE
1973-01-23 12:00:00,1973,1,23,8.277777778,11,4,FALSE,FALSE
1973-01-24 12:00:00,1973,1,24,11,14,6,FALSE,FALSE
1973-01-25 12:00:00,1973,1,25,9.5,11,8,FALSE,FALSE
1973-01-26 12:00:00,1973,1,26,11.83333333,16,8,FALSE,FALSE
1973-01-27 12:00:00,1973,1,27,9.611111111,16,5,FALSE,FALSE
1973-01-28 12:00:00,1973,1,28,12.16666667,16,8,FALSE,FALSE
1973-01-29 12:00:00,1973,1,29,10,14,6,FALSE,FALSE
1973-01-30 12:00:00,1973,1,30,9.555555556,18,4,FALSE,FALSE
1973-01-31 12:00:00,1973,1,31,13.22222222,19,9,FALSE,FALSE
1973-02-01 12:00:00,1973,2,1,10.66666667,16,5,FALSE,FALSE
1973-02-02 12:00:00,1973,2,2,9.611111111,13,6,FALSE,FALSE
1973-02-03 12:00:00,1973,2,3,10,14,6,FALSE,FALSE
1973-02-04 12:00:00,1973,2,4,9.777777778,15,4,FALSE,FALSE
1973-02-05 12:00:00,1973,2,5,10,12,8,FALSE,FALSE
1973-02-06 12:00:00,1973,2,6,11.27777778,16,7,FALSE,FALSE
1973-02-07 12:00:00,1973,2,7,10.11111111,17,4,FALSE,FALSE
1973-02-08 12:00:00,1973,2,8,9.888888889,20,2,FALSE,FALSE
